job_id	extension_id	method	coefficient_type	number	timing_user	timing_system	timing_elapsed
63996935	a3bf7	DESeq2	Cat	6	569.797	5.882	393.244
63996935	a3bf7	glm_gp overdispersion = 0	Cat	7	115.906	1.312	60.103
63996935	a3bf7	glm_gp	Cat	7	161.946	1.696	96.385
63996935	a3bf7	glm_gp on disk	Cat	7	188.882	2.351	126.66
63996935	a3bf7	DESeq2 with glmGamPoi	Cat	7	136.616	1.838	94.736
63996935	a3bf7	edgeR	Cat	7	492.814	1.299	252.737
63996935	a3bf7	DESeq2	Cat	7	869.346	8.936	543.564
63996935	a3bf7	glm_gp overdispersion = 0	Cat	8	125.398	1.562	64.934
63996935	a3bf7	glm_gp	Cat	8	180.067	2.017	103.988
63996935	a3bf7	glm_gp on disk	Cat	8	208.598	2.668	134.88
63996935	a3bf7	DESeq2 with glmGamPoi	Cat	8	156.81	2.036	107.196
63996935	a3bf7	edgeR	Cat	8	497.633	1.41	256.052
63996935	a3bf7	DESeq2	Cat	8	1273.649	13.01	756.238
63996935	a3bf7	glm_gp overdispersion = 0	Cont	1	4.713	0.175	4.826
63996935	a3bf7	glm_gp	Cont	1	17.59	0.341	17.206
63996935	a3bf7	glm_gp on disk	Cont	1	41.397	0.756	41.399
63996935	a3bf7	DESeq2 with glmGamPoi	Cont	1	22.31	0.835	23.115
63996935	a3bf7	edgeR	Cont	1	93.043	0.582	93.642
63996935	a3bf7	DESeq2	Cont	1	195.483	0.974	196.449
63996935	a3bf7	glm_gp overdispersion = 0	Cont	2	28.122	0.16	28.196
63996935	a3bf7	glm_gp	Cont	2	48.026	0.433	47.717
63996935	a3bf7	glm_gp on disk	Cont	2	81.428	1.032	81.689
63996935	a3bf7	DESeq2 with glmGamPoi	Cont	2	119.67	1.132	120.735
63996935	a3bf7	edgeR	Cont	2	229.075	0.731	178.383
63996935	a3bf7	DESeq2	Cont	2	250.873	1.381	251.896
63996935	a3bf7	glm_gp overdispersion = 0	Cont	3	72.93	0.432	38.025
63996935	a3bf7	glm_gp	Cont	3	108.595	0.733	68.065
63996935	a3bf7	glm_gp on disk	Cont	3	141.163	1.413	101.743
63996935	a3bf7	DESeq2 with glmGamPoi	Cont	3	157.927	1.282	136.358
63996935	a3bf7	edgeR	Cont	3	386.15	1.104	203.424
63996935	a3bf7	DESeq2	Cont	3	318.381	2.074	278.273
63996935	a3bf7	glm_gp overdispersion = 0	Cont	4	83.489	0.63	43.411
63996935	a3bf7	glm_gp	Cont	4	122.441	1	76.126
63996935	a3bf7	glm_gp on disk	Cont	4	155.367	1.59	110.138
